,Nombre del parque eolico,Pais,Departamento / Zona,Ciudad,turbinas eolicas,Altura de las gondolas,Potencia nominal total,Operativo,Parque eolico onshore,Desarrolladores,Operador,Propietario,Fuente,Latitud,Longitud,Sistema geodesico,Localizacion precisa,Puesta en servicio,Desarrollador,Imagenes de Google Maps,Parte,Otro nombre,Propietarios,Altitud,turbina eolica,En construccion,Deshabilitar,Operadores,Sitio web,"direccion de correo electronico a fin de inscribirle al boletin de noticias, estrictamente destinada al envio de los boletines de noticias y por un periodo de tiempo limitado a la duracion de la inscripcion a dichos boletines de noticias.","direccion de correo electronico y nombre de la empresa cuando se soliciten presupuestos o se adquieran productos, unicamente destinados a realizar el seguimiento de los clientes y durante un periodo de tiempo conforme a las obligaciones contables."
65,Belchite,Espana,Zaragoza (Aragon),Belchite,"Vestas V82/1650 (potencia 1 650 kW, diametro 82 m)",,49 500 kW,si,si,,EDP Renovaveis,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 18' 7.9""","-0° 41' 49.1""",WGS84,si,2006,Parque Eolico Belchite SL,Imagenes de Google Maps,,,,,,,,,,,
66,Belmonte,Espana,Asturias,Belmonte de Miranda,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,17 850 kW,si,si,,Parque Eolico Belmonte SA,Genesa,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 18' 17.5""","-6° 16' 27.5""",WGS84,si,2003,EDP Renovaveis,Imagenes de Google Maps,,,,,,,,,,,
67,Belmonte,Espana,Asturias,Belmonte de Miranda,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,17 850 kW,si,si,,Parque Eolico Belmonte SA,Genesa,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 18' 17.5""","-6° 16' 27.5""",WGS84,si,2003,EDP Renovaveis,Imagenes de Google Maps,,,,,,,,,,,
68,Boira,Espana,Valencia (Comunidad Valenciana),Jarafuel,"Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",80 m,34 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 9' 32.2""","-1° 7' 48.9""",WGS84,si,2009,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
69,Boqueron,Espana,Albacete (Castilla-La Mancha),"Villa de Ves, Casas del Ves","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,22 000 kW,si,si,,Sociedad Eolica la Manchuela,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 10' 15.9""","-1° 13' 40.1""",WGS84,si,2005,Sociedad Eolica la Manchuela,Imagenes de Google Maps,Sierra del Boqueron,Sierra del Boqueron,,,,,,,,,
70,Brena,Espana,Albacete (Castilla-La Mancha),Pinilla,"Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,36 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 41' 19.7""","-2° 19' 20.9""",WGS84,si,2006,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
71,Bullana,Espana,Soria (Castilla y Leon),"Arcos de Jalon, Almaluez, MedinaceliÂ ","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,38 000 kW,si,si,,,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 15' 34.6""","-2° 22' 48.4""",WGS84,si,2009,Ibercyl,Imagenes de Google Maps,,,,,,,,,,,
72,Bureba,Espana,Burgos (Castilla y Leon),"Monasterio de Rodilla, Galbarros, Briviesca, Santa Olalla de Bureba, Reinoso, Quintanavides","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,12 000 kW,si,si,,Energia Global Castellana,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 32' 26.9""","-3° 24' 35.8""",WGS84,si,2008,Energia Global Castellana,Imagenes de Google Maps,,,,,,,,,,,
73,Cabeza del Conde,Espana,Toledo (Castilla-La Mancha),Madridejos,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,8 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 31' 50.8""","-3° 30' 54.7""",WGS84,si,2007/03,Eolia,Imagenes de Google Maps,,,,,,,,,,,
74,Cabeza Morena Duenas,Espana,Albacete (Castilla-La Mancha),El Bonillo,"Enercon E82/2000 (potencia 2 000 kW, diametro 82 m)",,50 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 58' 46.6""","-2° 39' 2.4""",WGS84,si,2008,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
75,Cabimonteros,Espana,Logrono (La Rioja),Robles del Arnedillo,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",45 m,49 500 kW,si,si,,Desarrollos de Energias Renovables de Rioja,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 14' 51.2""","-2° 15' 15.6""",WGS84,si,2000,Eolicas de La Rioja,Imagenes de Google Maps,,,,,,,,,,,
76,Caldereros,Espana,Guadalajara (Castilla-La Mancha),"Hombrados, Pobo de Duenas","Vestas V90/1800 (potencia 1 800 kW, diametro 90 m)",,37 800 kW,si,si,,Eufer,Enel GreenPower,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 48' 25.2""","-1° 35' 0.6""",WGS84,si,2008,,Imagenes de Google Maps,,,,,,,,,,,
77,Callejas,Espana,Cuenca (Castilla-La Mancha),Olmedilla,"GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",,49 500 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 37' 58.9""","-1° 48' 47.3""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
78,Campalbo,Espana,Cuenca (Castilla-La Mancha),"Graja, Campalbo","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,49 300 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 53' 16""","-1° 14' 58.5""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
79,Campisabalos,Espana,Guadalajara (Castilla-La Mancha),Campisabalos,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,24 420 kW,si,si,,Pecamsa,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 17' 47.3""","-3° 10' 22.3""",WGS84,si,2001,Pecamsa,Imagenes de Google Maps,,,,,,,,,,,
80,Canada La Barca,Espana,Las Palmas (Fuerteventura),Pajara (Fuerteventura),"Vestas V27/225 (potencia 225 kW, diametro 27 m)",,1 125 kW,si,si,,Aerogeradores Canarios SA,,,"28° 9' 40.7""","-14° 15' 16.8""",WGS84,si,,PECSA Plantas Eolicas Canarias SA,Imagenes de Google Maps,,,,,,,,,,,
81,Canada La Barca (del Rio),Espana,Las Palmas (Fuerteventura),PajaraÂ ,"Made AE-23 (potencia 180 kW, diametro 23 m)",,4 860 kW,si,si,,Eolicas de Fuerteventura. S.A.Â ,,,"28° 9' 47.8""","-14° 14' 54.7""",WGS84,si,1995,Eolicas de Fuerteventura. S.A.Â ,Imagenes de Google Maps,Canada La Barca,,,,,,,,,,
82,Canada La Barca (del Rio),Espana,Las Palmas (Fuerteventura),PajaraÂ ,"Made AE-23 (potencia 180 kW, diametro 23 m)",,4 860 kW,si,si,,Eolicas de Fuerteventura. S.A.Â ,,,"28° 9' 47.8""","-14° 14' 54.7""",WGS84,si,1995,Eolicas de Fuerteventura. S.A.Â ,Imagenes de Google Maps,Canada La Barca,,,,,,,,,,
83,Canoneras,Espana,Cantabria,Ramales de la Victoria,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,17 850 kW,si,si,,Eolica 2000,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 8' 41.4""","-3° 29' 44.9""",WGS84,si,2008,Eolica 2000,Imagenes de Google Maps,,,,,,,,,,,
84,Canoneras II,Espana,Cantabria,SobaÂ ,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,14 450 kW,si,si,,Eolica 2000,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 8' 41.4""","-3° 29' 44.9""",WGS84,si,2010,Eolica 2000,Imagenes de Google Maps,,,,,,,,,,,
85,Canredondo I,Espana,Guadalajara (Castilla-La Mancha),"Canredondo, Torrecuadradilla","Gamesa G83/2000 (potencia 2 000 kW, diametro 83 m)",,28 000 kW,si,si,,Dersa Castilla La Mancha,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 48' 40.3""","-2° 32' 52.3""",WGS84,si,2006,Gas Natural Fenosa Renovables,Imagenes de Google Maps,,,,,,,,,,,
86,Caparroso,Espana,Navarra,Caparroso,"Ecotecnia 48 (potencia 750 kW, diametro 48 m)",,32 250 kW,si,si,,Eolica Caparroso,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 18' 9""","-1° 38' 2.2""",WGS84,si,2006,Eolica Caparroso,Imagenes de Google Maps,,,,400 m,"Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,,,,,
87,Caparroso,Espana,Navarra,Caparroso,"Ecotecnia 48 (potencia 750 kW, diametro 48 m)",,32 250 kW,si,si,,Eolica Caparroso,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 18' 9""","-1° 38' 2.2""",WGS84,si,2006,Eolica Caparroso,Imagenes de Google Maps,,,,400 m,"Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,,,,,
88,Capiruza I,Espana,Albacete (Castilla-La Mancha),"Albacete, Penas de San Pedro","Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,26 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 47' 7.2""","-1° 59' 30.2""",WGS84,si,2004,Iberdrola Renewables,Imagenes de Google Maps,Ampliacion,,,,,,,,,,
89,Capiruza I,Espana,Albacete (Castilla-La Mancha),"Albacete, Penas de San Pedro","Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,26 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 47' 7.2""","-1° 59' 30.2""",WGS84,si,2004,Iberdrola Renewables,Imagenes de Google Maps,Ampliacion,,,,,,,,,,
90,Capiruza II,Espana,Albacete (Castilla-La Mancha),Penas de San Pedro,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,42 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 47' 7.2""","-1° 59' 30.2""",WGS84,si,2006,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
91,Caramonte,Espana,Soria (Castilla y Leon),MedinaceliÂ ,"Nordex N90/2300 (potencia 2 300 kW, diametro 90 m)",80 m,50 600 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 7' 29.4""","-2° 25' 45.5""",WGS84,si,2009/10,Eolica de Medinaceli,Imagenes de Google Maps,,,,,,,,,,,
92,Carba,Espana,Lugo (Galicia),"Muras, Villalba","Made AE-46/I (potencia 660 kW, diametro 46 m)",,19 800 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 25' 12""","-7° 38' 23.9""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
93,Carcelen,Espana,Albacete (Castilla-La Mancha),Carcelen,"Made AE-52 (potencia 800 kW, diametro 52 m)",50 m,49 600 kW,si,si,,E.ON Climate Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 5' 30.2""","-1° 19' 3.9""",WGS84,si,2004/09,Elecdey,Imagenes de Google Maps,,,E.ON Climate Renewables/Elecdey/Energias Eolicas Bravo Saez S.A.,1000 m,,,,,,,
94,Carrascosa,Espana,Cuenca (Castilla-La Mancha),Campos del Paraiso,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,38 000 kW,si,si,,Energias Eolicas de Cuenca,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 0' 33.6""","-2° 45' 39.7""",WGS84,si,2006,Energias Eolicas de Cuenca,Imagenes de Google Maps,,,,,,,,,,,
95,Carrasquillo,Espana,Palencia (Castilla y Leon),"Astudillo, Pedrosa del Principe","Gamesa G58/850 (potencia 850 kW, diametro 58 m)",,49 300 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 13' 46.1""","-4° 10' 40""",WGS84,si,2003,Iberdrola Renewables,Imagenes de Google Maps,,,,900 m,,,,,,,
96,Carretera ArinagaÂ ,Espana,Las Palmas (Canarias),AgÃ¼imes (Gran Canaria),"Made AE-46/I (potencia 660 kW, diametro 46 m)",,2 000 kW,si,si,,,FCC,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 51' 30.6""","-15° 24' 19.1""",WGS84,si,2012,Parque Eolico Ctra. De Arinaga,Imagenes de Google Maps,,,,,"Enercon E70/2000 (potencia 2 000 kW, diametro 70 m)",,,,,,
97,Carretera ArinagaÂ ,Espana,Las Palmas (Canarias),AgÃ¼imes (Gran Canaria),"Made AE-46/I (potencia 660 kW, diametro 46 m)",,2 000 kW,si,si,,,FCC,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 51' 30.6""","-15° 24' 19.1""",WGS84,si,2012,Parque Eolico Ctra. De Arinaga,Imagenes de Google Maps,,,,,"Enercon E70/2000 (potencia 2 000 kW, diametro 70 m)",,,,,,
98,Casa,Espana,Lugo (Galicia),"Guitiriz, Villalba","Siemens SWT-2.3-82 (potencia 2 300 kW, diametro 82.4 m)",,29 900 kW,si,si,,Enel GreenPower,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 13' 53.3""","-7° 47' 20.5""",WGS84,si,2007,Gas Natural Fenosa Renovables,Imagenes de Google Maps,,,,,,,,,,,
99,Castelo,Espana,La Coruna (Galicia),"Coristanco, Tordoia","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,16 500 kW,si,si,,E.E. De Castelo,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 5' 24""","-8° 41' 23.9""",WGS84,si,,E.E. De Castelo,Imagenes de Google Maps,,,,,,,,,,,
100,Castilfrio,Espana,Soria (Castilla y Leon),Castilfrio,"Made AE-52 (potencia 800 kW, diametro 52 m)",,24 750 kW (downrated turbines),si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 56' 51.5""","-2° 17' 8.7""",WGS84,si,2003,Cetesa,Imagenes de Google Maps,,,,,,,,,,,
101,Cerro Blanco (Albacete),Espana,Albacete (Castilla-La Mancha),Pinilla,"Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,48 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 43' 53.3""","-2° 25' 1.4""",WGS84,si,2007,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
102,Cerro Blanco (Burgos),Espana,Burgos (Castilla y Leon),"Galbarros, Briviesca, Reinoso, Salinillas del Bureba","Gamesa G83/2000 (potencia 2 000 kW, diametro 83 m)",,42 000 kW,si,si,,Energia Global Castellana,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 32' 15""","-3° 24' 23.8""",WGS84,si,2008,Energia Global Castellana,Imagenes de Google Maps,,,,,,,,,,,
103,Cerro Calderon,Espana,Cuenca (Castilla-La Mancha),"Paredes, Alcazar del Rey","GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",,49 500 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 27' 15.9""","-2° 14' 30.5""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
104,Cerro de AtalayaÂ ,Espana,Zaragoza (Aragon),CadreteÂ ,,,1 670 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 33' 22""","-0° 57' 16.5""",WGS84,si,2008,Las Navarricas de Bordon,Imagenes de Google Maps,,,,,"Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,,,,,
105,Cerro de la Higuera,Espana,Malaga (Andalucia),"Ardales, TebaÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",78 m,44 000 kW,si,si,,,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 55' 33""","-4° 53' 5.1""",WGS84,si,2009,Sistemas Energeticos de la HigueraÂ ,Imagenes de Google Maps,,,,,,,,,,,
106,Cerro de la Oliva,Espana,Toledo (Castilla-La Mancha),"Almonacid, Nambroca, Villaminaya","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,10 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 45' 4.1""","-3° 54' 21.9""",WGS84,si,2007/11,Eolia,Imagenes de Google Maps,,,,,,,,,,,
107,Cerro de la Punta,Espana,Albacete (Castilla-La Mancha),Higueruela,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,24 420 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 59' 10.9""","-1° 23' 4.9""",WGS84,si,1999,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
108,Cerro de la Silla,Espana,Albacete (Castilla-La Mancha),Almansa,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,15 300 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 48' 21.7""","-0° 57' 10.4""",WGS84,si,2005,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
109,Cerro del Palo,Espana,Cuenca (Castilla-La Mancha),"Tebar, Atalaya Canavete","GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",,49 500 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 27' 4""","-2° 13' 37.1""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
110,Cerro Duran,Espana,Sevilla (Andalucia),"Los Corrales, El Saucejo, AlmargenÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,26 000 kW,si,si,,,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 4' 38.8""","-5° 0' 51.3""",WGS84,si,2008,Eolica Guadalteba,Imagenes de Google Maps,,,,,,,,,,,
111,Cerro Duran,Espana,Sevilla (Andalucia),"Los Corrales, El Saucejo, AlmargenÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,26 000 kW,si,si,,,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 4' 38.8""","-5° 0' 51.3""",WGS84,si,2008,Eolica Guadalteba,Imagenes de Google Maps,,,,,,,,,,,
112,Cerro Duran,Espana,Sevilla (Andalucia),"Los Corrales, El Saucejo, AlmargenÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,26 000 kW,si,si,,,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 4' 38.8""","-5° 0' 51.3""",WGS84,si,2008,Eolica Guadalteba,Imagenes de Google Maps,,,,,,,,,,,
113,Cerro Gavira,Espana,Malaga (Andalucia),"Campillos, Sierra de YeguasÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,42 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 6' 2.7""","-4° 52' 53.3""",WGS84,si,2008,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
114,Cerro Moreno,Espana,Toledo (Castilla-La Mancha),"Nambroca, Almonacid","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,6 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 41' 11.9""","-3° 13' 23.4""",WGS84,si,2007/12,Eolia,Imagenes de Google Maps,,,,,,,,,,,
115,Cerro Revolcado,Espana,Albacete (Castilla-La Mancha),Caudete,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,26 350 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 43' 44.9""","-1° 4' 34.4""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
116,Cerro San Anton,Espana,Toledo (Castilla-La Mancha),Lillo,"Vestas V100/1800 (potencia 1 800 kW, diametro 100 m)",80 m,7 200 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 44' 39.7""","-3° 17' 32.6""",WGS84,si,2012,,Imagenes de Google Maps,,,,,,,,,,,
117,Cerro Vicente,Espana,Albacete (Castilla-La Mancha),"Pozocanada, Chinchilla del Monte Aragon","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,39 100 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 49' 47.5""","-1° 40' 53.8""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
118,Cerro Vicente II,Espana,Albacete (Castilla-La Mancha),"Pozocanada, Chinchilla del Monte Aragon","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,29 750 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 49' 47.5""","-1° 40' 53.8""",WGS84,si,2002,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
119,Cerros de Radona,Espana,Soria (Castilla y Leon),"Alcubilla de las Penas, MedinaceliÂ ","GE Energy 2.5xl (potencia 2 500 kW, diametro 100 m)",100 m,40 000 kW,si,si,,Ventient Energy,Ventient Energy,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 16' 6.2""","-2° 25' 28.8""",WGS84,si,2009,Eolica de Radona,Imagenes de Google Maps,,,,,,,,,,,
120,Chantada,Espana,Lugo (Galicia),"Chantada (Lugo), Rodeiro (La Coruna)","Ecotecnia 74 (potencia 1 670 kW, diametro 74 m)",,50 100 kW,si,si,Galicia Vento SL/Elecnor,,,http://www.elecnor.es/es/negocios/infraestructuras/generacion-energia/#14,"42° 38' 55.1""","-7° 53' 25.2""",WGS84,si,2004,,Imagenes de Google Maps,,,,,,,,Galicia Vento SL/Elecnor,,,
121,Chao das Grallas,Espana,Asturias,Villanueva de Oscos,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,28 000 kW,si,si,,Acciona Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 21' 14.2""","-6° 58' 12.4""",WGS84,si,2008,Acciona Energia,Imagenes de Google Maps,,,Eurus Energy/Acciona Energia,,,,,,,,
122,Chumillas,Espana,Cuenca (Castilla-La Mancha),Olmedilla,"Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,50 000 kW,si,si,Elecdey/Cobra,Elecdey,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 45' 19.8""","-2° 2' 42.7""",WGS84,si,2005,,Imagenes de Google Maps,,,,,,,,,,,
123,Ciesma de Grisel,Espana,Zaragoza (Aragon),Grisel,"Neg Micon NM48/750 (potencia 750 kW, diametro 48.2 m)",,10 500 kW,si,si,,RWE,RWE,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 51' 38.1""","-1° 43' 26""",WGS84,si,2001/07,Germania Windpark,Imagenes de Google Maps,Ampliacion,,,,,,,,,,
124,Ciesma de Grisel,Espana,Zaragoza (Aragon),Grisel,"Neg Micon NM48/750 (potencia 750 kW, diametro 48.2 m)",,10 500 kW,si,si,,RWE,RWE,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 51' 38.1""","-1° 43' 26""",WGS84,si,2001/07,Germania Windpark,Imagenes de Google Maps,Ampliacion,,,,,,,,,,
125,Coll del Panissot,Espana,Lleida (Cataluna),Almatret,"Alstom Power 110 (potencia 3 000 kW, diametro 109.8 m)",100 m,9 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 16' 58.3""","0° 25' 45""",WGS84,si,2012,Parc Eolic Coll de Panissot,Imagenes de Google Maps,,,,,,,,,,,
126,Colladillo,Espana,Avila (Castilla y Leon),"Valdecasa, Narrillos del Rebollar, BalbardaÂ ","Vestas V90/1800 (potencia 1 800 kW, diametro 90 m)",,30 600 kW,si,si,,Eolica Sierra de Avila,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 39' 14.7""","-4° 58' 52.4""",WGS84,si,2010,Eolica Sierra de Avila,Imagenes de Google Maps,,,,,,,,,,,
127,Collet deis Feixos,Espana,Tarragona (Cataluna),DuesaigÃ¼es,"Made AE-61 (potencia 1 320 kW, diametro 61 m)",60 m,7 920 kW,si,si,,Esbrug SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 10' 56.2""","0° 55' 10.3""",WGS84,si,2004,Esbrug SL,Imagenes de Google Maps,,,,,,,,,,,
128,Conesa I,Espana,Tarragona (Cataluna),ConesaÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",100 m,30 000 kW,si,si,,Athena Investments,Athena Investments,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 30' 22.4""","1° 15' 44.4""",WGS84,si,2009/09,GERRSA,Imagenes de Google Maps,,,,,,,,,,,
129,Conesa II,Espana,Tarragona (Cataluna),"Conesa, ForesÂ ","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",100 m,32 000 kW,si,si,,Gerr Grupo Energetico XXI,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 30' 22.4""","1° 15' 44.4""",WGS84,si,,VVD & Sons,Imagenes de Google Maps,,,,,,,,,,,
